Entity,Day,Weekly cases per million people
Afghanistan,2021-01-05,21.291882
Afghanistan,2021-01-06,19.098621
Afghanistan,2021-01-07,21.612246
Afghanistan,2021-01-08,20.18293
Afghanistan,2021-01-09,20.059713
Afghanistan,2021-01-10,19.221838
Afghanistan,2021-01-11,15.500688
Afghanistan,2021-01-12,14.120658
Afghanistan,2021-01-13,14.416378
Afghanistan,2021-01-14,13.997441
Afghanistan,2021-01-15,12.297048
Afghanistan,2021-01-16,13.25814
Afghanistan,2021-01-17,12.198474
Afghanistan,2021-01-18,12.913132
Afghanistan,2021-01-19,13.726364
Afghanistan,2021-01-20,14.490309
Afghanistan,2021-01-21,15.476044
Afghanistan,2021-01-22,16.067486
Afghanistan,2021-01-23,15.30354
Afghanistan,2021-01-24,15.057106
Afghanistan,2021-01-25,15.032463
Afghanistan,2021-01-26,15.007819
Afghanistan,2021-01-27,14.194588
Afghanistan,2021-01-28,12.02597
Afghanistan,2021-01-29,11.237382
Afghanistan,2021-01-30,11.064878
Afghanistan,2021-01-31,10.547367
Afghanistan,2021-02-01,9.536989
Afghanistan,2021-02-02,9.142694
Afghanistan,2021-02-03,7.8858824
Afghanistan,2021-02-04,8.37875
Afghanistan,2021-02-05,8.033743
Afghanistan,2021-02-06,7.9351687
Afghanistan,2021-02-07,7.688735
Afghanistan,2021-02-08,7.3930144
Afghanistan,2021-02-09,6.4812093
Afghanistan,2021-02-10,5.618691
Afghanistan,2021-02-11,4.657599
Afghanistan,2021-02-12,4.4358087
Afghanistan,2021-02-13,3.5240035
Afghanistan,2021-02-14,3.869011
Afghanistan,2021-02-15,3.819724
Afghanistan,2021-02-16,3.3022132
Afghanistan,2021-02-17,3.4007866
Afghanistan,2021-02-18,3.3761432
Afghanistan,2021-02-19,3.2036397
Afghanistan,2021-02-20,2.6368418
Afghanistan,2021-02-21,2.7600589
Afghanistan,2021-02-22,2.5382683
Afghanistan,2021-02-23,3.154353
Afghanistan,2021-02-24,3.0557795
Afghanistan,2021-02-25,3.031136
Afghanistan,2021-02-26,2.9818492
Afghanistan,2021-02-27,3.1297095
Afghanistan,2021-02-28,2.710772
Afghanistan,2021-03-01,2.8586323
Afghanistan,2021-03-02,2.784702
Afghanistan,2021-03-03,2.6121986
Afghanistan,2021-03-04,2.3411212
Afghanistan,2021-03-05,3.228283
Afghanistan,2021-03-06,3.2775698
Afghanistan,2021-03-07,3.2775698
Afghanistan,2021-03-08,3.5240035
Afghanistan,2021-03-09,2.8832757
Afghanistan,2021-03-10,3.0557795
Afghanistan,2021-03-11,3.4993603
Afghanistan,2021-03-12,3.2529263
Afghanistan,2021-03-13,2.9325624
Afghanistan,2021-03-14,3.4007866
Afghanistan,2021-03-15,2.6861286
Afghanistan,2021-03-16,2.9325624
Afghanistan,2021-03-17,3.0064926
Afghanistan,2021-03-18,3.1297095
Afghanistan,2021-03-19,2.710772
Afghanistan,2021-03-20,3.3022132
Afghanistan,2021-03-21,2.9079192
Afghanistan,2021-03-22,4.140088
Afghanistan,2021-03-23,4.4850955
Afghanistan,2021-03-24,4.3372355
Afghanistan,2021-03-25,4.4850955
Afghanistan,2021-03-26,4.559026
Afghanistan,2021-03-27,4.8547463
Afghanistan,2021-03-28,4.706886
Afghanistan,2021-03-29,4.1647315
Afghanistan,2021-03-30,5.10118
Afghanistan,2021-03-31,6.456566
Afghanistan,2021-04-01,7.171224
Afghanistan,2021-04-02,7.8365955
Afghanistan,2021-04-03,7.5162315
Afghanistan,2021-04-04,9.413772
Afghanistan,2021-04-05,9.734136
Afghanistan,2021-04-06,9.734136
Afghanistan,2021-04-07,10.325577
Afghanistan,2021-04-08,10.49808
Afghanistan,2021-04-09,11.015592
Afghanistan,2021-04-10,13.529217
Afghanistan,2021-04-11,11.927397
Afghanistan,2021-04-12,12.937776
Afghanistan,2021-04-13,14.416378
Afghanistan,2021-04-14,15.254253
Afghanistan,2021-04-15,14.564239
Afghanistan,2021-04-16,14.613525
Afghanistan,2021-04-17,14.219232
Afghanistan,2021-04-18,15.59926
Afghanistan,2021-04-19,16.16606
Afghanistan,2021-04-20,16.584995
Afghanistan,2021-04-21,17.792522
Afghanistan,2021-04-22,19.17255
Afghanistan,2021-04-23,22.918344
Afghanistan,2021-04-24,24.865171
Afghanistan,2021-04-25,25.875551
Afghanistan,2021-04-26,27.526657
Afghanistan,2021-04-27,29.276339
Afghanistan,2021-04-28,28.48775
Afghanistan,2021-04-29,31.149235
Afghanistan,2021-04-30,29.645988
Afghanistan,2021-05-01,29.793848
Afghanistan,2021-05-02,31.518885
Afghanistan,2021-05-03,31.666746
Afghanistan,2021-05-04,32.972843
Afghanistan,2021-05-05,35.166107
Afghanistan,2021-05-06,39.084404
Afghanistan,2021-05-07,42.140182
Afghanistan,2021-05-08,44.75238
Afghanistan,2021-05-09,42.386616
Afghanistan,2021-05-10,43.44628
Afghanistan,2021-05-11,45.343822
Afghanistan,2021-05-12,47.339935
Afghanistan,2021-05-13,46.40349
Afghanistan,2021-05-14,46.822426
Afghanistan,2021-05-15,40.834084
Afghanistan,2021-05-16,40.46443
Afghanistan,2021-05-17,37.82759
Afghanistan,2021-05-18,34.895027
Afghanistan,2021-05-19,34.599308
Afghanistan,2021-05-20,37.704376
Afghanistan,2021-05-21,42.509834
Afghanistan,2021-05-22,51.110374
Afghanistan,2021-05-23,55.299747
Afghanistan,2021-05-24,65.97034
Afghanistan,2021-05-25,76.00019
Afghanistan,2021-05-26,89.23369
Afghanistan,2021-05-27,93.42306
Afghanistan,2021-05-28,99.805695
Afghanistan,2021-05-29,113.97564
Afghanistan,2021-05-30,124.03014
Afghanistan,2021-05-31,137.09114
Afghanistan,2021-06-01,149.6839
Afghanistan,2021-06-02,154.83437
Afghanistan,2021-06-03,166.41676
Afghanistan,2021-06-04,184.77608
Afghanistan,2021-06-05,193.49983
Afghanistan,2021-06-06,208.55695
Afghanistan,2021-06-07,221.86436
Afghanistan,2021-06-08,230.39098
Afghanistan,2021-06-09,247.02525
Afghanistan,2021-06-10,265.48315
Afghanistan,2021-06-11,273.24582
Afghanistan,2021-06-12,265.58173
Afghanistan,2021-06-13,262.13165
Afghanistan,2021-06-14,261.6388
Afghanistan,2021-06-15,269.74646
Afghanistan,2021-06-16,227.65556
Afghanistan,2021-06-17,262.18094
Afghanistan,2021-06-18,271.52078
Afghanistan,2021-06-19,290.32367
Afghanistan,2021-06-20,296.82953
Afghanistan,2021-06-21,306.66223
Afghanistan,2021-06-22,307.47546
Afghanistan,2021-06-23,361.49377
Afghanistan,2021-06-24,320.3886
Afghanistan,2021-06-25,316.8646
Afghanistan,2021-06-26,310.58054
Afghanistan,2021-06-27,303.45862
Afghanistan,2021-06-28,291.99942
Afghanistan,2021-06-29,281.15634
Afghanistan,2021-06-30,263.73346
Afghanistan,2021-07-01,263.2899
Afghanistan,2021-07-02,260.33267
Afghanistan,2021-07-03,255.33008
Afghanistan,2021-07-04,259.44553
Afghanistan,2021-07-05,251.01749
Afghanistan,2021-07-06,253.9747
Afghanistan,2021-07-07,255.35472
Afghanistan,2021-07-08,243.89555
Afghanistan,2021-07-09,232.38708
Afghanistan,2021-07-10,228.9863
Afghanistan,2021-07-11,217.60106
Afghanistan,2021-07-12,214.79172
Afghanistan,2021-07-13,207.6205
Afghanistan,2021-07-14,187.83186
Afghanistan,2021-07-15,190.73978
Afghanistan,2021-07-16,183.96284
Afghanistan,2021-07-17,183.51927
Afghanistan,2021-07-18,173.09511
Afghanistan,2021-07-19,168.70859
Afghanistan,2021-07-20,160.79807
Afghanistan,2021-07-21,150.79285
Afghanistan,2021-07-22,131.34923
Afghanistan,2021-07-23,108.13516
Afghanistan,2021-07-24,84.82252
Afghanistan,2021-07-25,80.55921
Afghanistan,2021-07-26,68.65646
Afghanistan,2021-07-27,63.924934
Afghanistan,2021-07-28,68.755035
Afghanistan,2021-07-29,69.32183
Afghanistan,2021-07-30,76.00019
Afghanistan,2021-07-31,85.956116
Afghanistan,2021-08-01,89.455475
Afghanistan,2021-08-02,91.18051
Afghanistan,2021-08-03,87.82901
Afghanistan,2021-08-04,83.319275
Afghanistan,2021-08-05,82.92498
Afghanistan,2021-08-06,81.0028
Afghanistan,2021-08-07,76.04948
Afghanistan,2021-08-08,72.87048
Afghanistan,2021-08-09,68.828964
Afghanistan,2021-08-10,60.154495
Afghanistan,2021-08-11,58.109093
Afghanistan,2021-08-12,54.26473
Afghanistan,2021-08-13,48.30103
Afghanistan,2021-08-14,41.918392
Afghanistan,2021-08-15,38.813328
Afghanistan,2021-08-16,33.61357
Afghanistan,2021-08-17,30.31136
Afghanistan,2021-08-18,26.417706
Afghanistan,2021-08-19,20.897589
Afghanistan,2021-08-20,16.708214
Afghanistan,2021-08-21,13.70172
Afghanistan,2021-08-22,11.779536
Afghanistan,2021-08-23,10.867731
Afghanistan,2021-08-24,10.27629
Afghanistan,2021-08-25,8.846974
Afghanistan,2021-08-26,10.12843
Afghanistan,2021-08-27,12.617412
Afghanistan,2021-08-28,12.568125
Afghanistan,2021-08-29,12.863846
Afghanistan,2021-08-30,13.923511
Afghanistan,2021-08-31,13.800294
Afghanistan,2021-09-01,13.25814
Afghanistan,2021-09-02,11.927397
Afghanistan,2021-09-03,10.227003
Afghanistan,2021-09-04,9.561632
Afghanistan,2021-09-05,9.610919
Afghanistan,2021-09-06,9.512345
Afghanistan,2021-09-07,10.005213
Afghanistan,2021-09-08,11.730249
Afghanistan,2021-09-09,13.159566
Afghanistan,2021-09-10,14.465665
Afghanistan,2021-09-11,14.465665
Afghanistan,2021-09-12,13.972797
Afghanistan,2021-09-13,13.800294
Afghanistan,2021-09-14,13.652433
Afghanistan,2021-09-15,13.47993
Afghanistan,2021-09-16,12.839202
Afghanistan,2021-09-17,12.937776
Afghanistan,2021-09-18,13.55386
Afghanistan,2021-09-19,13.529217
Afghanistan,2021-09-20,12.0999
Afghanistan,2021-09-21,13.110279
Afghanistan,2021-09-22,11.680963
Afghanistan,2021-09-23,10.818444
Afghanistan,2021-09-24,8.649827
Afghanistan,2021-09-25,8.994834
Afghanistan,2021-09-26,8.871617
Afghanistan,2021-09-27,8.994834
Afghanistan,2021-09-28,6.382636
Afghanistan,2021-09-29,6.1362023
Afghanistan,2021-09-30,6.210132
Afghanistan,2021-10-01,5.692621
Afghanistan,2021-10-02,5.150467
Afghanistan,2021-10-03,5.9636984
Afghanistan,2021-10-04,5.298327
Afghanistan,2021-10-05,5.3229704
Afghanistan,2021-10-06,5.224397
Afghanistan,2021-10-07,5.1258235
Afghanistan,2021-10-08,5.8651247
Afghanistan,2021-10-09,5.421544
Afghanistan,2021-10-10,5.0026064
Afghanistan,2021-10-11,5.470831
Afghanistan,2021-10-12,5.692621
Afghanistan,2021-10-13,6.382636
Afghanistan,2021-10-14,6.0376287
Afghanistan,2021-10-15,6.2347755
Afghanistan,2021-10-16,6.2840624
Afghanistan,2021-10-17,6.7276435
Afghanistan,2021-10-18,6.259419
Afghanistan,2021-10-19,5.8158383
Afghanistan,2021-10-20,4.977963
Afghanistan,2021-10-21,5.7172647
Afghanistan,2021-10-22,5.150467
Afghanistan,2021-10-23,5.618691
Afghanistan,2021-10-24,4.9533195
Afghanistan,2021-10-25,5.470831
Afghanistan,2021-10-26,6.5058527
Afghanistan,2021-10-27,6.653713
Afghanistan,2021-10-28,6.530496
Afghanistan,2021-10-29,6.77693
Afghanistan,2021-10-30,6.530496
Afghanistan,2021-10-31,6.653713
Afghanistan,2021-11-01,6.530496
Afghanistan,2021-11-02,6.012985
Afghanistan,2021-11-03,5.8158383
Afghanistan,2021-11-04,4.904033
Afghanistan,2021-11-05,4.8547463
Afghanistan,2021-11-06,4.830103
Afghanistan,2021-11-07,4.6083126
Afghanistan,2021-11-08,4.1154447
Afghanistan,2021-11-09,4.1154447
Afghanistan,2021-11-10,5.6433344
Afghanistan,2021-11-11,5.24904
Afghanistan,2021-11-12,5.298327
Afghanistan,2021-11-13,5.4461875
Afghanistan,2021-11-14,5.8404813
Afghanistan,2021-11-15,6.333349
Afghanistan,2021-11-16,6.9247904
Afghanistan,2021-11-17,5.791195
Afghanistan,2021-11-18,8.009099
Afghanistan,2021-11-19,8.132316
Afghanistan,2021-11-20,8.354107
Afghanistan,2021-11-21,8.674471
Afghanistan,2021-11-22,8.846974
Afghanistan,2021-11-23,8.649827
Afghanistan,2021-11-24,9.019478
Afghanistan,2021-11-25,7.220511
Afghanistan,2021-11-26,8.82233
Afghanistan,2021-11-27,8.403393
Afghanistan,2021-11-28,8.033743
Afghanistan,2021-11-29,7.5655184
Afghanistan,2021-11-30,7.368371
Afghanistan,2021-12-01,6.7522864
Afghanistan,2021-12-02,8.058386
Afghanistan,2021-12-03,5.988342
Afghanistan,2021-12-04,5.8158383
Afghanistan,2021-12-05,5.939055
Afghanistan,2021-12-06,5.8158383
Afghanistan,2021-12-07,5.889768
Afghanistan,2021-12-08,5.3969007
Afghanistan,2021-12-09,4.509739
Afghanistan,2021-12-10,4.87939
Afghanistan,2021-12-11,4.830103
Afghanistan,2021-12-12,4.4358087
Afghanistan,2021-12-13,4.411165
Afghanistan,2021-12-14,3.6718638
Afghanistan,2021-12-15,3.745794
Afghanistan,2021-12-16,3.031136
Afghanistan,2021-12-17,3.4500735
Afghanistan,2021-12-18,3.228283
Afghanistan,2021-12-19,3.3022132
Afghanistan,2021-12-20,3.795081
Afghanistan,2021-12-21,3.6718638
Afghanistan,2021-12-22,3.8443675
Afghanistan,2021-12-23,4.3372355
Afghanistan,2021-12-24,3.7704375
Afghanistan,2021-12-25,3.7704375
Afghanistan,2021-12-26,3.869011
Afghanistan,2021-12-27,4.041515
Afghanistan,2021-12-28,4.189375
Afghanistan,2021-12-29,4.4850955
Afghanistan,2021-12-30,4.87939
Afghanistan,2021-12-31,4.460452
Afghanistan,2022-01-01,4.238662
Afghanistan,2022-01-02,5.1751103
Afghanistan,2022-01-03,5.051893
Africa,2021-01-05,121.17277
Africa,2021-01-06,126.357666
Africa,2021-01-07,130.3644
Africa,2021-01-08,134.1243
Africa,2021-01-09,141.88817
Africa,2021-01-10,150.70851
Africa,2021-01-11,155.47165
Africa,2021-01-12,160.05573
Africa,2021-01-13,158.65837
Africa,2021-01-14,156.80055
Africa,2021-01-15,156.29927
Africa,2021-01-16,152.43774
Africa,2021-01-17,147.05302
Africa,2021-01-18,144.55495
Africa,2021-01-19,140.18384
Africa,2021-01-20,139.19997
Africa,2021-01-21,136.25385
Africa,2021-01-22,130.97147
Africa,2021-01-23,128.25352
Africa,2021-01-24,127.51786
Africa,2021-01-25,122.84668
Africa,2021-01-26,118.29027
Africa,2021-01-27,115.575096
Africa,2021-01-28,110.220795
Africa,2021-01-29,105.40027
Africa,2021-01-30,100.62192
Africa,2021-01-31,93.521805
Africa,2021-02-01,90.51555
Africa,2021-02-02,88.474495
Africa,2021-02-03,85.201355
Africa,2021-02-04,80.765945
Africa,2021-02-05,78.37228
Africa,2021-02-06,77.35728
Africa,2021-02-07,74.42846
Africa,2021-02-08,72.1703
Africa,2021-02-09,70.3996
Africa,2021-02-10,68.27834
Africa,2021-02-11,67.009605
Africa,2021-02-12,65.33777
Africa,2021-02-13,61.29923
Africa,2021-02-14,60.074738
Africa,2021-02-15,59.501556
Africa,2021-02-16,58.525974
Africa,2021-02-17,57.36855
Africa,2021-02-18,56.47732
Africa,2021-02-19,55.177467
Africa,2021-02-20,54.667896
Africa,2021-02-21,53.449627
Africa,2021-02-22,52.586742
Africa,2021-02-23,53.94122
Africa,2021-02-24,52.921387
Africa,2021-02-25,53.31895
Africa,2021-02-26,52.127647
Africa,2021-02-27,52.136635
Africa,2021-02-28,51.207375
Africa,2021-03-01,50.447514
Africa,2021-03-02,49.17808
Africa,2021-03-03,49.361305
Africa,2021-03-04,49.425606
Africa,2021-03-05,50.17648
Africa,2021-03-06,48.70654
Africa,2021-03-07,48.974808
Africa,2021-03-08,48.919495
Africa,2021-03-09,48.675423
Africa,2021-03-10,48.3878
Africa,2021-03-11,46.54449
Africa,2021-03-12,45.72517
Africa,2021-03-13,46.345364
Africa,2021-03-14,46.254097
Africa,2021-03-15,46.611557
Africa,2021-03-16,46.73947
Africa,2021-03-17,47.41982
Africa,2021-03-18,53.69784
Africa,2021-03-19,54.216404
Africa,2021-03-20,55.812874
Africa,2021-03-21,56.17932
Africa,2021-03-22,56.258835
Africa,2021-03-23,56.12816
Africa,2021-03-24,56.233944
Africa,2021-03-25,54.17699
Africa,2021-03-26,54.477066
